 ,Mean1,Mean4,Mean6,Mean7
629,641.246,857.999,706.542,785.192
630,640.348,859.978,707.449,784.161
631,639.547,860.631,707.852,783.397
632,639.187,857.863,707.034,782.956
633,639.109,853.620,705.749,782.803
634,638.991,851.793,705.240,783.094
635,639.005,853.349,705.674,783.717
636,639.223,855.248,706.299,783.937
637,639.604,854.062,705.967,783.322
638,640.159,850.184,704.625,782.220
639,641.422,847.439,703.441,781.428
640,643.197,848.334,703.566,781.334
641,644.353,851.216,704.555,781.667
642,644.237,852.365,705.179,781.925
643,643.725,849.905,704.740,781.812
644,644.000,846.117,704.131,781.577
645,644.763,844.723,704.349,781.631
646,644.976,846.788,705.443,782.301
647,644.526,849.964,706.587,783.314
648,644.261,852.105,707.112,784.214
649,644.879,853.723,707.458,784.676
650,646.536,857.101,708.620,784.819
651,648.737,862.533,710.609,784.830
652,650.445,867.358,712.222,784.808
653,650.576,868.321,712.326,784.619
654,649.469,864.921,711.084,784.243
655,648.391,860.287,709.511,783.855
656,648.448,858.164,708.610,783.916
657,649.521,858.942,708.649,784.522
658,650.427,859.570,708.925,785.212
659,649.969,857.580,708.547,785.337
660,648.476,854.116,707.705,784.875
661,647.204,852.534,707.369,784.299
662,646.450,853.773,707.750,784.139
663,645.749,855.494,708.020,784.230
664,644.765,854.561,707.417,783.955
665,643.879,850.504,706.006,783.140
666,643.391,846.759,704.831,782.463
667,643.464,846.721,704.543,782.548
668,643.884,849.823,704.958,783.136
669,644.296,852.078,705.114,783.594
670,644.500,850.641,704.258,783.555
671,644.372,847.182,702.961,783.224
672,644.081,845.717,702.563,782.985
673,644.109,847.790,703.541,782.892
674,644.469,850.669,704.816,782.802
675,644.540,850.819,704.897,782.612
676,643.889,847.953,703.604,782.424
677,642.991,845.508,702.222,782.515
678,642.723,846.225,702.033,782.902
679,643.365,849.032,702.959,783.333
680,644.507,850.907,703.777,783.367
681,645.419,851.016,704.060,782.995
682,646.007,851.743,704.599,782.804
683,646.732,855.565,706.208,783.230
684,647.794,861.595,708.418,783.823
685,648.351,865.855,709.933,783.793
686,647.815,865.244,709.638,782.979
687,646.749,861.042,707.927,781.919
688,646.194,857.681,706.391,781.235
689,646.526,857.929,706.129,781.065
690,646.735,860.198,706.655,781.185
691,645.988,860.523,706.575,781.320
692,644.654,857.241,705.431,781.145
693,643.533,853.050,704.152,780.628
694,642.986,851.911,703.731,780.135
695,643.280,854.061,704.092,779.996
696,644.168,856.007,704.354,780.037
697,644.723,854.294,703.678,779.835
698,644.671,849.682,702.400,779.359
699,644.801,846.349,701.796,778.982
700,645.623,846.956,702.395,778.941
701,646.626,849.543,703.331,778.965
702,646.950,850.027,703.493,778.744
703,646.417,847.047,702.783,778.390
704,645.697,843.422,702.089,778.150
705,645.595,842.816,702.334,778.116
706,645.789,845.298,703.520,778.253
707,645.538,847.473,704.692,778.459
708,645.002,846.548,704.932,778.618
709,644.829,843.864,704.057,778.788
710,645.348,843.159,703.029,779.128
711,645.983,845.503,702.889,779.606
712,645.964,847.945,703.672,779.934
713,644.960,847.072,704.204,779.711
714,643.474,843.397,703.575,779.188
715,642.360,841.086,702.608,778.971
716,642.322,843.597,702.865,779.255
717,643.590,850.121,704.633,779.816
718,645.711,856.730,706.649,780.280
719,647.491,860.010,707.797,780.631
720,647.870,859.947,708.168,780.765
721,647.322,859.422,708.723,780.695
722,646.938,860.350,709.732,780.490
723,646.882,861.377,710.380,780.364
724,646.443,859.879,709.835,780.214
725,645.348,855.864,708.309,779.934
726,644.585,852.398,706.950,779.594
727,644.756,852.138,706.641,779.274
728,645.287,854.207,707.318,778.887
729,645.261,855.056,708.052,778.341
730,644.654,852.581,708.118,777.671
731,644.071,848.989,707.719,777.106
732,643.642,848.046,707.594,776.689
733,642.945,850.367,707.806,776.572
734,641.709,852.641,707.606,776.631
735,640.145,851.516,706.576,776.572
736,638.810,847.495,705.355,776.363
737,638.467,844.554,704.936,776.329
738,639.488,845.304,705.581,776.555
739,641.206,848.110,706.410,776.768
740,642.524,849.335,706.256,776.616
741,642.900,847.341,705.231,776.191
742,642.810,844.265,704.465,775.929
743,643.137,843.523,704.924,776.014
744,644.142,845.486,706.032,776.460
745,645.043,847.147,706.364,777.110
746,644.801,845.951,705.367,777.513
747,643.536,843.317,704.209,777.445
748,642.630,843.583,704.860,777.449
749,643.050,848.889,707.576,778.077
750,644.637,856.335,710.667,779.131
751,646.239,860.939,712.138,779.887
752,646.626,860.713,711.458,779.993
753,646.026,858.463,709.799,779.691
754,645.469,857.871,709.124,779.274
755,645.377,859.363,709.797,778.795
756,645.154,859.937,710.452,778.185
757,644.379,857.263,709.687,777.484
758,643.540,852.776,707.874,776.814
759,643.213,850.389,706.670,776.384
760,643.493,851.915,706.844,776.337
761,643.801,854.927,707.434,776.437
762,643.581,855.379,707.154,776.323
763,642.545,852.446,705.971,775.882
764,641.386,849.491,704.942,775.593
765,641.116,849.625,705.003,775.825
766,641.550,852.288,706.088,776.242
767,641.727,853.956,707.028,776.247
768,641.026,852.145,706.740,775.608
