 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
136,268.641,285.621,263.780,260.735,290.773,273.470,259.652,253.523,257.191,253.952,261.898,260.390,382.139,255.470,247.209,253.636,249.016,256.634,261.804,253.448,253.423,254.440
137,267.659,285.227,264.031,260.120,290.474,273.085,259.387,253.148,257.430,253.763,261.453,260.726,382.275,256.118,247.169,253.537,249.021,256.716,261.564,253.812,253.457,254.926
138,267.419,285.029,264.523,259.765,290.633,272.153,259.618,253.156,257.904,253.516,261.090,261.063,382.427,256.460,247.295,253.732,249.297,256.900,261.100,254.210,253.676,255.321
139,267.848,284.852,265.174,259.718,290.824,271.240,260.217,253.562,258.672,253.075,260.988,261.269,382.603,256.472,247.641,254.313,249.759,256.935,260.729,254.528,253.833,255.229
140,268.636,284.616,265.843,259.897,290.406,270.926,260.597,254.070,259.321,252.392,260.980,261.242,382.727,256.307,248.087,254.869,250.054,256.675,260.589,254.665,253.785,254.765
141,269.263,284.330,266.366,260.312,289.404,271.429,260.643,254.395,259.491,251.925,261.163,260.973,382.649,256.179,248.418,255.032,250.089,256.288,260.693,254.976,253.704,254.193
142,269.171,284.048,266.760,260.581,288.673,272.347,260.581,254.777,259.410,252.280,261.559,260.574,382.541,256.355,248.494,254.687,250.140,255.950,260.882,255.460,253.588,253.659
143,268.576,283.883,267.240,260.650,288.859,273.126,260.578,255.129,259.413,252.801,261.718,260.498,382.746,256.586,248.317,254.184,250.332,255.948,261.000,255.713,253.406,253.118
144,267.991,283.639,267.509,260.543,289.877,273.486,260.459,255.387,259.502,252.688,261.420,260.852,383.587,256.673,248.122,253.767,250.544,256.136,260.725,255.504,253.392,252.972
145,267.687,283.277,267.495,260.470,290.875,273.650,260.362,255.605,259.608,251.984,260.527,261.686,384.921,256.749,248.072,253.526,250.526,256.465,260.286,255.067,253.853,253.448
146,267.931,282.819,267.822,260.688,291.067,274.139,260.440,256.004,259.549,251.054,259.869,262.816,386.191,256.906,248.150,253.634,250.178,256.729,260.136,254.771,254.638,254.058
