 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
227,312.466,318.871,309.027,303.846,318.712,314.928,312.122,324.807,325.126,330.075,311.785,316.365,310.675
228,312.280,318.952,309.050,303.557,318.615,314.755,312.071,324.621,325.009,329.516,311.894,316.378,309.990
229,312.366,319.412,309.156,303.250,318.791,314.750,311.872,324.724,324.843,329.113,312.103,316.349,309.267
230,312.392,320.127,309.164,303.161,319.049,314.831,311.568,324.956,324.520,328.979,312.237,316.213,308.826
231,312.348,320.938,309.072,303.234,319.185,314.815,311.225,325.158,324.143,328.750,312.139,316.054,308.719
232,312.392,321.612,308.864,303.319,319.194,314.473,310.953,325.064,323.905,328.338,311.896,315.937,308.895
233,312.767,321.803,308.726,303.360,319.159,313.960,310.689,324.589,323.789,328.140,311.662,315.667,309.345
234,313.267,321.338,308.822,303.463,319.161,313.578,310.423,323.912,323.770,328.326,311.484,315.290,309.798
235,313.523,320.288,309.217,303.656,319.148,313.407,310.288,323.244,323.686,328.651,311.387,314.887,309.756
236,313.549,319.358,309.597,303.817,318.953,313.273,310.361,322.744,323.515,328.786,311.251,314.647,309.424
237,313.532,319.040,309.652,303.817,318.568,313.213,310.454,322.451,323.243,328.697,310.793,314.690,309.305
238,313.506,319.219,309.372,303.541,318.209,313.166,310.570,322.242,322.917,328.687,310.049,315.093,309.539
239,313.466,319.495,308.828,303.195,318.138,313.075,310.708,322.028,322.637,328.816,309.456,315.588,309.846
240,313.438,319.481,308.464,303.165,318.415,312.806,310.881,322.027,322.469,328.814,309.354,315.829,309.899
241,313.381,319.298,308.576,303.525,318.680,312.479,311.027,322.307,322.383,328.617,309.508,315.780,309.703
242,313.311,319.203,308.825,303.989,318.740,312.229,311.082,322.612,322.306,328.383,309.624,315.718,309.297
243,313.189,319.328,308.841,304.250,318.507,312.241,310.965,322.623,322.175,328.444,309.677,315.707,308.796
244,313.070,319.489,308.685,304.431,317.981,312.640,310.682,322.508,322.066,328.695,309.789,315.761,308.465
245,313.027,319.457,308.621,304.541,317.183,313.710,310.515,322.505,322.122,328.806,309.760,315.705,308.487
246,312.947,319.372,308.541,304.298,316.527,315.578,310.720,322.692,322.227,328.688,309.514,315.682,308.853
247,312.962,319.445,308.305,303.853,316.168,317.932,311.308,322.930,322.133,328.654,309.014,315.772,309.269
248,312.962,319.795,308.061,303.395,316.217,320.080,312.142,323.101,321.798,328.804,308.511,315.703,309.578
249,312.979,320.143,308.201,303.190,316.606,321.579,312.966,323.147,321.242,328.920,308.246,315.316,309.618
250,313.220,320.386,308.681,303.163,317.058,322.513,313.554,322.827,320.749,329.038,308.410,314.836,309.386
